code,name,mv_mean,amount_mean,profit,主营产品名称,主营产品类型,公司简介
300604.SZ,长川科技,2733643.2305625,546452.5834632035,218236745.88,大功率测试机、模拟/数模混合测试机、平移式分选机、重力下滑式分选机,专用设备与零部件,公司是一家专注于集成电路装备的研发、生产和销售的高新技术企业，为集成电路电参数性能测试提供生产平台和技术服务。公司主要为集成电路封装测试企业、晶圆制造企业、芯片设计企业等提供测试设备，集成电路测试设备主要包括测试机、分选机、探针台、自动化设备等，公司主要产品包括测试机和分选机。公司生产的测试机包括大功率测试机(CTT系列)、模拟/数模混合测试机(CTA系列)等；分选机包括重力下滑式分选机(C1、C3、C3Q、C37、C5、C7、C8、C9、C9Q系列)、平移式分选机(C6、C7R系列)等。公司非常重视新产品的开发与创新，每年将销售额的一部分用于产品研发，核心技术均来源于自主研发，公司先后被认定为国家级高新技术企业、浙江省重点企业研究院和省级高新技术企业研发中心、省“隐形冠军”企业等，并承担了国家创新基金、浙江省重大科技国际合作专项、浙江省重大专项、杭州市重大专项等在内的重大科研项目。产品也获得了“浙江省优秀工业产品”、“杭州市科技进步奖”、“杭州市名牌产品”等荣誉称号，成为集成电路封测行业技术领军企业。
002430.SZ,杭氧股份,2725375.2936982047,242018.06097925312,1193948325.12,122~155L/h液氧、液氮设备、150m3/h（氧）空分设备、15L/h液氧、液氮设备、21L/h气体制冷机型液氮设备、350m3/h（氧）空分设备、400kg/h液氧、液氮设备、550m3/h（氮）设备、800~1200（氮）纯氮设备、800L/h液氧设备、变压吸附制氮、制氧设备、标准气、大中型空分设备、氮气、低温泵、低温阀门、低温液体容器、电加热器、二氧化碳、钢结构、氦气、环保设备、混合气、活塞压缩机、氢气、石化装备设备、数字控制系统、特种气、透平膨胀机、氩气、氧气、乙炔气、蒸汽加热器,化工机械、特种气体、氧气、运营平台系统,公司是行业领先的空分设备和石化设备开发、设计、制造成套企业，主要从事气体分离设备、工业气体产品和石化设备的生产及销售业务。公司生产的空分设备以及工业气体广泛应用于冶金、化工、煤化工等领域。目前，公司已成功研制十万等级空分设备并投入运行，其性能指标达到国际先进水平。公司利用在空分设备设计制造的优势，实现产业链的延伸，大力进军工业气体领域，加大发展工业气体产业的力度和步伐，在全国范围内投资设立多家专业气体公司，目前公司已发展成为国内最主要的工业气体供应商之一。公司产品覆盖全国各地和世界多个国家和地区，被世界著名公司如德国MESSER集团、英国BOC公司等认可并采购。公司拥有国家级企业技术中心，是我国重大技术装备国产化基地。
300672.SZ,国科微,2494091.8232969753,694392.5905352697,293078019.06,高性能存储系列芯片、广播电视系列芯片、智能监控系列芯片,半导体分立器件,公司是国家高新技术企业和经工业和信息化部认定的集成电路设计企业，长期致力于大规模集成电路的设计、研发及销售。凭借着先进的管理体系、雄厚的研发能力、优异的产品质量和技术实力，公司设计的广播电视系列芯片和智能监控系列芯片具备较高的性价比，形成了较为明显的领先优势。目前，公司已成为国内广播电视系列芯片和智能监控系列芯片的主流供应商之一。公司将利用既有的技术、产品、市场及品牌优势，在目前系统平台的基础上，进一步加大研发投入和技术创新力度，重点开拓以广播电视、智能监控、固态存储以及物联网领域为核心的产品市场，并适时向其他合适的集成电路领域拓展。
605111.SH,新洁能,2411891.860034426,665618.1210539419,410461760.71,新洁能1200V~1350V绝缘栅双极型晶体管(IGBT)、新洁能20V-250V沟槽型功率MOSFET、新洁能20V-250V屏蔽栅沟槽型功率MOSFET、新洁能500V-900V超结功率MOSFET、新洁能650V绝缘栅双极型晶体管(IGBT)、新洁能MOSFET或IGBT功率模块,电子设备及加工,公司为国内半导体功率器件设计龙头企业之一，在中国半导体行业协会发布的2016年及2017年中国半导体功率器件企业排行榜中，公司均名列“中国半导体功率器件十强企业”。公司是江苏省科技厅、财政厅、国税局、地税局联合认定的高新技术企业，且为中国半导体行业协会会员、中国电源学会理事单位。公司的主营业务为MOSFET等分立器件的研发和销售，公司销售的产品按照是否封装可以分为晶圆片和封装成品。公司目前已经形成沟槽型功率MOSFET(中低压)、超结功率MOSFET(高)两类主要产品系列，以及屏蔽栅沟槽型功率MOSFET(SGT)(中低压)、绝缘栅双极型晶体管(IGBT)和功率模块等新产品系列。公司目前拥有约500种型号的细分产品，产品广泛应用于消费电子、汽车电子、变频家电、新能源汽车及充电桩、LED等领域。公司各类产品的区别主要体现是产品在不同的电压平台下，使用合理及先进的设计技术和制造技术来实现功率器件低导通损耗与低开关损耗，从而提升能源转换效率。
000818.SZ,航锦科技,2395648.0442622956,461675.8687925311,732306304.55,二氯丙烷、锦化氯碱合成盐酸、锦化氯碱环氧丙烷、锦化氯碱甲苯二异氰酸酯(TDI)、锦化氯碱聚醚、锦化氯碱氯化苯、锦化氯碱氯气、锦化氯碱三氯乙烯、锦化氯碱烧碱、锦化氯碱液氯、军工产品、氢气、四氯化钛,高分子聚合物、国防产品、氢气、无机化工原料、有机化工原料,公司是一家大型化工生产基地，主要产品包括：烧碱、液氯、氯化苯、环氧丙烷、聚醚及聚氯乙烯等，并已形成了以烧碱、环氧丙烷、聚醚三大引进装置为主的大工业化生产格局。主要销售对象包括化纤、医药、聚氨酯、建筑等下游产品生产企业，产品用途较为广泛。2017年下半年，公司成功收购了长沙韶光半导体有限公司及威科电子模块(深圳)有限公司两家军工企业。长沙韶光是我国军用集成电路系列产品的供应商，产品广泛应用于航空、航天、兵器、船舶、电子等领域，客户体系涵盖了我国各大军工集团及下属单位、民营军工企业等国内重点武器装备生产企业。威科电子主要产品为厚膜集成电路，并且在标准厚膜混合集成电路领域有着近三十年的生产和销售经验，产品在军工、航天等高端领域拥有广阔的市场空间。公司将实现化工业务+军工业务两个业务板块共同发展的产业布局，实现化工军工业务双轮驱动、两翼齐飞的新格局。
002465.SZ,海格通信,2284728.6348317703,291093.83142738586,653611516.7,奥米加导航接收机、超短波通讯电台、船舶自动识别系统、短波通讯电台、海事通信产品、基站控制台、野外综合通信系统、以太网综合通讯系统、长河二号导航接收机、长河三号导航接收机、中长波通讯电台,电子设备及加工、通信终端设备,公司国家创新型企业、全国电子信息百强企业之一的广州无线电集团的主要成员企业，是国家火炬计划重点高新技术企业、国家规划布局内重点软件企业，多年连续入选中国软件业务收入前百家企业，拥有国家级企业技术中心、博士后科研工作站、广东省院士专家企业工作站，是全频段覆盖的无线通信与全产业链布局的北斗导航装备研制专家、电子信息系统解决方案提供商。公司主要业务覆盖“无线通信、北斗导航、航空航天、软件与信息服务”四大领域；主要用户包括军委直属机构和各军兵种以及三大电信运营商、政府、公安、海警、武警、消防、交通等国民经济重要部门，为亚丁湾护航、神舟飞船发射、首艘国产航母出航、朱日和阅兵大型军事演习等重大活动提供信息化保障，深受用户好评。
603688.SH,石英股份,2065966.3775464753,262490.82013692945,280975394.77,太平洋半导体石英棒、太平洋半导体石英管、太平洋标准透明石英管、太平洋多晶用石英坩埚、太平洋二次成型石英、太平洋高纯石英砂、太平洋光伏产业链、太平洋光源类石英管、太平洋红色石英管、太平洋金卤灯石英管、太平洋晶用石英坩埚、太平洋滤紫外石英管、太平洋乳白管、太平洋石英器件、太平洋无臭氧石英管,半导体材料,公司是一家集科研、生产、销售为一体的硅资源深加工企业，国内石英制品行业的龙头企业。主营业务为石英制品的生产、研发及销售；主要产品为中高端石英管、石英棒，高纯石英砂以及包括石英坩埚在内的其他石英制品，“太平洋”系列石英制品具有很高的品牌知名度和产品竞争力。公司先后被评定为国家火炬计划重点高新技术企业、江苏省高新技术企业、国家硅材料产业基地骨干企业、江苏省星火龙头企业等称号。公司与飞利浦照明、GE照明、欧司朗等国际电光源领先企业都有长期的业务合作关系，并多次获得飞利浦照明等客户授予的优秀供应商贡献奖。
002402.SZ,和而泰,2044873.134254951,401735.986846473,553364284.55,spa仪控制器、ZigBee的智能办公设备、按摩椅控制器、变频洗衣机控制器、车载冰箱控制器、触摸开关控制器、灯光控制器、电磁炉控制器、电动牙刷控制器、电动真空仪控制器、电饭煲控制器、儿童摇摆车控制器、风幕机控制器、割草机控制器、工业吸尘器控制器、咖啡壶控制器、美容仪控制器、暖风机控制器、汽车仪表盘控制器、热水器控制器、人感开关控制器、太阳能换气扇、天花扇控制器、调光开关控制器、微波炉控制器、音乐盒控制器、在线功能测试接口板、直发器控制器、智能玩具控制器、智能座便器控制器,电子设备及加工,公司是专业从事智能控制器技术研发、产品设计、软件服务、产品制造的高新技术企业，各项指标均名列国内同类企业前茅，是国内智能控制器行业具有领导地位的龙头企业。产品包括家用电器、健康与护理产品、电动工具、智能建筑与家居、汽车电子等领域的智能控制器。公司研发了中国第一套低成本商品化网络型冰箱控制系统、第一套直流变频冰箱控制系统、第一套DSP直流变频洗衣机控制系统、第一套无位置传感器正弦无刷直流变频洗衣机控制系统等多项领先技术与产品。公司已成为伊莱克斯、西门子、松下等全球著名跨国公司在国内少数的技术开发与产品合作伙伴。
300054.SZ,鼎龙股份,2043365.723267418,389975.5835394191,213521066.44,次氯酸钙、分散液及乳液、化学碳粉、喷码用色素、树脂用着色材料、碳粉用电荷调节剂,涂料与油漆,公司是一家从事集成电路芯片及制程工艺材料、光电显示材料、打印复印耗材等研发、生产及服务的国家高新技术企业、国家创新型企业、创业板上市公司(股票代码：300054)。公司一直秉承“实业为虎、资本为翼”的发展理念，依托科技创新和产业整合，已形成打印复印耗材全产业链、集成电路芯片及制程工艺材料、光电显示材料等三大板块的产业布局。始终坚持“面向国际高端、坚持科技创新、争创世界一流”的技术发展战略，依托国家企业技术中心、国家知识产权示范企业、博士后科研工作站、湖北省工程技术研究中心等创新平台，在国际高端细分领域相继开发出彩色聚合碳粉、集成电路CMP用抛光垫及后清洗液、柔性OLED用聚酰亚胺及发光材料、通用耗材芯片、通用硒鼓、磁性载体、电荷调节剂、充电辊、显影辊、高端颜料、萘环酮类染料等十一类高新技术产品。
300395.SZ,菲利华,1935552.1427051476,219930.29520331952,370120317.95,菲利华石英玻璃材料及制品、菲利华石英纤维及制品,玻璃,公司已发展成为国内外具有较大影响力和规模优势的石英材料及石英纤维制造企业，全球少数几家具有石英纤维批量生产能力的制造商，中国航空航天等国防军工领域唯一的石英纤维供应商。公司已取得ISO9001、ISO14001、OHSAS18001管理体系认证，是中国建筑玻璃与工业玻璃协会副会长单位、国家高新技术企业、湖北省高性能石英玻璃及石英纤维工程技术研究中心、湖北省企业技术中心、湖北省博士后产业基地、国家级创新型试点企业。公司致力于航空航天、半导体、太阳能、光纤通讯、光学等高新技术领域的配套服务，其产品技术的实现，始终以上述领域的发展为目标，不断追求技术和品质提升，以全面满足客户需求。
300327.SZ,中颖电子,1918582.9516255902,473024.0926846473,370653382.07,SH66K33A微处理器、SH69K20A单片微处理器、SH69P20B微处理器、SH69P20C单片机、SH69P21单片机、SH69P23/K23微处理器、SH69P25微处理器、SH69P26微处理器、SH69P31单片机,电子元器件,公司是一家专注于单片机集成电路设计与销售的高新技术企业，是首批被中国工业及信息化部及上海市信息化办公室认定的IC设计企业，并连续多年被认定为上海市高新技术企业。公司专注于于单片机(MCU)产品集成电路设计，MCU母体包括8-bit Flash MCU、8-bit OTP/Mask MCU、16-bit DSP、4-bit OTP/Mask MCU，并广泛应用于家电、白色家电、黑色家电、汽车电子周边、运动器材、医疗保健、四表(水、电、气、暖)、仪器仪表、安防、电源控制、马达控制、工业控制、变频、数码电机、计算机键盘、鼠标、网络音乐(便携式、车载、床头音响)、无线儿童监控器、无线耳机/喇叭/门铃。经过多年努力，结合MCU的开发经验，采用高压制程，开拓了锂电池管理和保护产品线。产品广泛应用于笔记本电脑、智能手机、平板电脑、电动工具、电动自行车、UPS和移动基站等领域的锂电池管理和保护。同时，还扩充了OLED系列产品，以环保节能的先进理念揭开新的篇章。
002151.SZ,北斗星通,1868946.4169222706,288255.60418672196,202572172.21,北斗GNSS卫星导航定位产品、北斗GPS航迹测试系统、北斗GPS天线及附件、北斗便携型用户机、北斗车辆作业监控管理系统、北斗车载型用户机、北斗船载型用户机、北斗海洋渔业船位监测和综合信息服务系统、北斗旅游车辆安全监控系统方案、北斗南方地区低温冷冻雪灾减灾实用技术、北斗手持型用户机、北斗授时型用户机、北斗星通GPS高精度测量系统、北斗指挥型用户机,卫星制造及应用,公司是我国卫星导航产业首家上市公司，以推动北斗产业化应用、助力导航产业发展为己任，为全球用户提供卓越的产品、解决方案及服务。公司专业从事卫星导航定位产品、基于位置的信息系统应用和基于位置的运营服务业务，形成了“产品+系统应用+运营服务”的经营模式。公司是经北斗系统主管部门授权许可、专门从事北斗卫星导航定位系统运营服务业务的运营机构。公司集聚了“千人计划”、“万人计划”、科技部创新人才推进计划、北京市科技领军人才等一批业内一流人才；取得了一批高水平研发成果，其卫星导航芯片、板卡、天线等基础产品在各行业得到广泛应用。多年形成的“产品+系统应用+运营服务”的业务模式不断深化，四大业务板块协调发展，为我国北斗导航产业发展做出了卓越贡献。
002436.SZ,兴森科技,1816220.1839411804,473689.7845809129,621490008.76,PCB设计服务、PCB样板、电脑主板、刚挠板、高速网络工程板,电子元器件、集成电路、专业咨询服务,"公司是国内最大的印制电路样板小批量板快件制造商，一直致力于为国内外高科技电子企业和科研单位服务,产品广泛运用于通信、网络、工业控制、计算机应用、国防军工、航天、医疗等行业领域。公司先后成为华为、中兴核心快件样板供应商，并与超过五千多家海内外知名品牌公司及电子研发类企业建立了良好的合作关系。“兴森快捷”成为国内中高端PCB样板小批量板制造领域的著名品牌，公司正逐步成为“国内第一，全球领先”具备PCB设计-PCB制造-SMT贴装完整产业链的硬件外包设计综合解决方案提供商。"
300671.SZ,富满微,1668851.3874429346,1080143.0399834025,456443806.47,LED 控制及驱动类芯片、MOSFET 类芯片、电源管理类芯片、其他芯片,半导体材料,公司是集集成电路设计、封装、测试、销售为一体的综合性的集成电路公司，主要从事高性能模拟及数模混合集成电路的设计研发、封装、测试和销售。依托公司的技术研发、业务模式、快速服务和人才储备等优势，公司已成为集成电路行业电源管理类芯片、LED控制及驱动类芯片等细分领域的优秀企业。公司主要产品包括电源管理类芯片、LED控制及驱动类芯片、MOSFET类芯片及其他芯片等，在电源管理类芯片、LED控制及驱动类芯片、MOSFET类芯片的产品应用市场中，公司拥有较高知名度。
600171.SH,上海贝岭,1653778.2704678033,1130645.6058174274,729298230.93,贝岭CPU卡芯片、贝岭存储卡芯片、贝岭电子标签及指纹认证、贝岭二极管、贝岭硅片加工、贝岭集成电路、贝岭晶体管、贝岭宽带可视电话机、贝岭微处理器,半导体材料、半导体分立器件、电话机及配件、电脑配件、集成电路,公司是集成电路设计企业，提供模拟和数模混合集成电路及系统解决方案。目前，公司集成电路产品业务包括智能计量及SOC、电源管理、通用模拟、非挥发存储器、高速高精度ADC等五大产品领域，主要应用于消费电子、通信、工业应用等领域，主要目标市场为电表、手机、液晶电视及平板显示、机顶盒等各类工业及消费电子产品。公司主营业务按类别分为集成电路产品、集成电路贸易和测试业务三部分。在细分业务中，集成电路产品是指公司自行设计、研发并销售的集成电路产品业务，公司将非挥发存储器、高速高精度ADC两块规模较小的业务与通用模拟业务合并，继续按智能计量、通用模拟和电源管理三类业务进行划分。
300613.SZ,富瀚微,1631489.7223256147,337537.2016058091,363867737.6,视频监控多媒体处理芯片、数字接口模块、专业技术服务,电子设备及加工、专业咨询服务,公司成立于2004年4月，专注于视频监控芯片及解决方案，满足高速增长的数字视频监控市场对视频编解码和图像信号处理的芯片需求。公司提供高性能视频编解码SoC和图像信号处理器芯片，以及基于这些芯片的视频监控产品方案。公司致力于与国内外设备制造商、解决方案提供商建立紧密合作关系，共同把握市场契机，为客户提供高性价的产品和服务，持续创造价值。公司是国家集成电路设计企业、上海市高新技术企业、上海市科技小巨人企业、上海市企业技术中心，公司先后承担多项国家、市级研发和产业化类项目，公司研发项目连续多年被认定为上海市高新技术成果转化百佳项目，并获中国半导体创新产品和技术奖、上海市科学技术奖等荣誉。
688368.SH,晶丰明源,1587398.0493114754,206648.85290043292,677420694.85,电机驱动芯片、通用LED照明驱动芯片、智能LED照明驱动芯片,专用设备与零部件,公司是国内领先的电源管理驱动类芯片设计企业之一。公司采用Fabless模式，拥有行业领先的模拟芯片设计能力，并多次引领细分行业技术革新。主营业务为电源管理驱动类芯片的研发与销售，公司产品包括LED照明驱动芯片、电机驱动芯片等电源管理驱动类芯片。公司在高精度恒流技术等方面实现了技术突破，掌握了“寄生电容耦合及线电压补偿恒流技术”、“单电阻过压保护技术”、“过温闭环控制降电流技术”等LED照明驱动芯片设计的关键性技术，推出了LED照明驱动的整体解决方案。根据国家半导体照明工程研发及产业联盟(CSA)统计，公司2016年国内LED照明驱动芯片市场占有率约为28.80％，市场占有率较高。
300567.SZ,精测电子,1493195.0156802624,374281.64898755186,192288353.49,Flicker自动检测装置、LCM图形信号发生器、LCM讯号测试系统、LCM讯号适配器、LED光学测试机、OLED液晶面板老化图形信号发生器、TFT玻璃缺陷自动检测设备、TFT模组缺陷自动检测设备、成盒切线检查器、错位检查机、多功能可编程交流电源、光学GAMMA调节、光学寿命测试机、盒内光学测量、宏观检查机、框胶检查机、配项膜检查机、中片测试仪,电子测试和测量仪器,公司是一家从事TFT-LCD(液晶显示器)\PDP(等离子体显示器)\OLED平面显示信号测试技术的研究、开发、生产与销售为一体的高新技术企业，也是目前国内平面显示信号测试领域的龙头企业。公司在国内平板显示测试领域处于绝对领先地位，产品包括模组检测系统、面板检测系统、OLED检测系统、AOI光学检测系统、Touch Panel检测系统和平板显示自动化设备，并通过ISO9000-2008质量管理体系认证、CE欧盟产品认证。产品已在京东方、三星、LG、夏普、松下、中电熊猫、富士康、友达光电等知名企业批量应用，并大量用于苹果公司的IPhone和IPad系列产品显示测试。公司坚持以“自主创新为核心，以联合研发为两翼”的发展战略，围绕光学检测、自动化控制以及信号检测(光、机、电)技术，开展了一系列的技术攻关和创新工作，拳头产品拥有自主知识产权，其整体技术水平达到国际先进水平。
002281.SZ,光迅科技,1457547.699399574,213087.6232572614,567266618.25,光讯科技波分复用器、光讯科技光波长/模式转换器、光讯科技光集成器件、光讯科技光连接器、光讯科技光纤放大器、光讯科技光线路保护子系统、光讯科技光转发器,传输设备、通信系统与平台,公司是中国最大光通信器件供货商，是目前中国唯一一家有能力对光电子器件进行系统性，战略性研究开发的高科技企业，是中国光电子器件行业最具影响的实体之一。国家高技术研究发展计划成果产业基地武汉光通信与光传感材料及器件成果产业化基地的主要建设单位之一，并被国家科学技术部火炬高技术产业开发中心认定为“国家火炬计划重点高新技术企业”，主要从事光通信领域内光电子器件的研究、开发、制造和技术服务。先后承担国家“863”、“973”、国家科技攻关等项目数十余项。中兴通讯、华为技术、烽火通信为代表的国内通信系统设备厂商已成为公司稳定的客户。
603690.SH,至纯科技,1402475.0667050327,545395.112319502,281764365.4,高纯工艺设备、高纯工艺系统,专用设备与零部件,公司是一家高新技术企业，致力于为高端先进制造业的高科技企业提供高纯工艺系统的解决方案，业务包括高纯工艺系统与高纯工艺设备的设计、加工制造、安装以及配套工程、检测、厂务托管、标定和维护保养等增值服务。公司能够针对用户的需求，提供整个系统的设计、选型、制造、安装、测试、调试和系统托管服务，提供的系统和专业服务被广泛应用于半导体、微电子、生物医药、光伏、光纤、TFT-LCD、LED等领域。公司的业务遍及这些行业领域，并遍布全中国，公司在华南、华北、西部、长三角和中部设立了分支以就近服务用户。公司的客户均为各自领域的佼佼者，包括INTEL，BCD、英利、晶澳、尚德、富通、京东方、扬子江药业、武汉生物所、华瑞等。在整个项目的实施过程中，尤其是在安装关键工艺系统和核心精密设备时，公司保持对安全、质量、进度和成本的控制，对项目的成功起着重要的作用。公司拥有行业内顶尖的高素质优秀人才，拥有丰富的经验、对规范和工艺流程充分的知识，以及完备的工具。
688037.SH,芯源微,1388920.6627868854,310315.488746888,77349494.43,喷胶机、清洗机（集成电路制造后道先进封装）、清洗机（集成电路制造前道晶圆加工）、去胶机、湿法刻蚀机、涂胶/显影机、涂胶/显影机 （集成电路制造后道先进封装）、涂胶/显影机 （集成电路制造前道晶圆加工）,专用设备与零部件,"公司是国家高新技术企业,主要从事半导体专用设备的研发、生产和销售，产品包括光刻工序涂胶显影设备(涂胶/显影机、喷胶机)和单片式湿法设备(清洗机、去胶机、湿法刻蚀机)，产品可用于6英寸及以下单晶圆处理(如LED芯片制造环节)及8/12英寸单晶圆处理(如集成电路制造前道晶圆加工及后道先进封装环节)。作为与光刻机配合进行作业的关键处理设备，公司生产的涂胶/显影机成功打破国外厂商垄断并填补国内空白，其中在LED芯片制造及集成电路制造后道先进封装等环节，作为国内厂商主流机型已成功实现进口替代；通过多年的技术研发、实践应用积累以及持续承担国家02重大专项，公司成功突破了应用于集成电路制造前道晶圆加工环节的涂胶显影设备技术，成型产品目前正在长江存储、上海华力等前道芯片制造厂商进行工艺验证。成立以来，公司先后荣获“国家级知识产权优势企业”、“国内先进封装领域最佳设备供应商”、“2018年中国半导体设备五强企业”等多项殊荣，公司产品先后获得“国家战略性创新产品”、“国家重点新产品”等多项荣誉。"
688019.SH,安集科技,1371508.3060963934,200647.31193775934,125084063.28,光刻胶去除剂、化学机械抛光液,超硬材料、其他化学品,公司是一家集研发、生产、销售、服务为一体的自主创新型高科技微电子材料企业，主营业务为关键半导体材料的研发和产业化。公司产品包括不同系列的化学机械抛光液和光刻胶去除剂，主要应用于集成电路制造和先进封装领域。公司主要采用直接面对终端客户的直销模式，当产品通过客户评价和测试后，生产部门再根据客户订单制定量产计划。公司成功打破了国外厂商对集成电路领域化学机械抛光液的垄断，实现了进口替代，在半导体材料行业取得了一定的市场份额和品牌知名度。公司拥有一系列具有自主知识产权的核心技术，涵盖了整个产品配方及工艺流程，并通过有效的管理降低了产品成本，从而可以给客户提供高性价比的产品。同时公司通过提供本土化、定制化、一体化的服务积累了众多优质客户资源，包括中芯国际、台积电等行业领先的集成电路制造商。
300077.SZ,国民技术,1338978.5709508196,972936.3170932203,218975957.1,CPU、SSX44可信密码模块芯片、Z8HM2系列芯片、锂离子电池负极材料、身份认证&Usbkey、时钟处理及驱动芯片、网络协议芯片、无线音视频及数据传输芯片,半导体材料、集成电路,公司是国内专业从事超大规模信息安全芯片和通讯芯片产品设计以及整体解决方案研发和销售的国家级高新技术企业，主要产品包括安全芯片和通讯芯片，其中，安全芯片包括USBKEY安全芯片、安全存储芯片、可信计算芯片和移动支付芯片，通讯芯片包括通讯接口芯片、通讯射频芯片等。公司是国内少数量产32位安全芯片、安全存储芯片和可信计算芯片的集成电路设计企业之一。2018年，公司收购了斯诺实业70%股权，新增业务锂离子电池负极材料研发、生产和销售，用以探索新能源行业的发展方向。
688018.SH,乐鑫科技,1294824.3270700492,259714.1777759336,198427707.6,ESP32系列模组、ESP32系列芯片、ESP8089系列芯片、ESP8266系列模组、ESP8266系列芯片,专用设备与零部件,公司是物联网Wi-Fi解决方案专业供应商，专注于物联网Wi-Fi MCU通信芯片及其模组的研发、设计及销售。公司主要产品Wi-Fi MCU是智能家居、智能照明、智能支付终端、智能可穿戴设备、传感设备及工业控制等物联网领域的核心通信芯片。公司产品在集成度、产品尺寸、计算能力、射频、内存、功耗、综合性价比等多个方面均拥有比较优势，公司产品具有较强的进口替代实力和国际市场竞争力。在物联网Wi-Fi MCU芯片领域公司具有较高的市场地位，与高通、德州仪器、美满、赛普拉斯、瑞昱、联发科等同属于第一梯队。公司还拥有独特的开源技术生态系统，以开源方式，创新地建立了开放、活跃的技术生态系统，在全球物联网开发者社群中拥有极高的知名度。
300655.SZ,晶瑞电材,1278981.1112159672,643648.0440165976,200996573.6,超净高纯试剂、功能性材料、光刻胶、锂电池粘结剂、食品级消毒剂过氧乙酸,有机化工原料,苏州晶瑞化学股份有限公司(SCCC)2001.11.29注册成立，位于苏州市吴中经济开发区澄湖东路，是一家生产销售微电子业用超纯化学材料和其他精细化工产品的上市企业。品种包括氢氟酸、过氧化氢、氨水、盐酸、硫酸、硝酸、异丙醇、冰醋酸、混合酸(硅腐蚀液、铝腐蚀液、铬腐蚀液、BOE、金蚀刻液)氢氧化钾、氢氧化钠、配套试剂等。目前主要产品的纯度为，单项金属杂质含量小于0.1ppb。产品广泛应用于超大规模集成电路、LED、TFT-LCD面板制造过程、太阳能硅片的蚀刻与清洗。
300398.SZ,飞凯材料,1268622.3272450983,463869.6081825726,385866139.2,飞凯紫外固化光纤光缆涂覆材料,高分子聚合物,公司是一家研究、生产、销售高科技制造中使用的材料和特种化学品的专业公司。作为我国主要的光纤光缆涂覆材料供应商之一，公司率先打破国外巨头对紫外固化光纤光缆涂覆材料的技术垄断，抢占市场先机，逐步树立了公司在紫外固化光纤光缆涂覆材料行业的领先地位。公司的产品还广泛应用于IC制造、IC封装、LED制造，TFT-LCD、PCB、SMT等诸多电子制造领域。多年来，公司秉承客户、质量、研发、员工的经营理念，始终致力于高科技制造材料行业的创新与突破，为高科技制造提供优质配套材料。
688233.SH,神工股份,1268574.4262295081,236103.77151037345,218442472.45,硅棒、硅环、硅盘、硅筒,半导体材料,公司是国内领先的半导体级单晶硅材料供应商，主营业务为半导体级单晶硅材料的研发、生产和销售。公司核心产品为大尺寸高纯度半导体级单晶硅材料，目前主要应用于加工制成半导体级单晶硅部件，是晶圆制造刻蚀环节所必需的核心耗材。公司生产的半导体级单晶硅材料纯度达到11个9，量产尺寸最大可达19英寸，产品质量核心指标达到国际先进水平，可满足7nm先进制程芯片制造刻蚀环节对硅材料的工艺要求。公司核心产品过去几年成功打入国际先进半导体材料供应链体系，并已逐步替代国外同类产品，在刻蚀电极细分领域的市场份额已达13%-15%，广泛应用于国际知名半导体厂商的生产流程。经过多年的发展，公司在半导体级单晶硅材料领域已建立起完整的研发、生产和销售体系，公司产品主要销往日本、韩国、美国等国家和地区。凭借先进的生产制造技术、高效的产品供应体系以及良好的综合管理能力，公司与客户建立了长期稳定的合作关系，市场认可度较高，公司已成功进入国际先进半导体材料产业链体系，形成了一定的品牌优势。
600206.SH,有研新材,1241799.3341119671,408327.514813278,238760184.99,150mm硅抛光片、200mm硅抛光片、半导体材料进出口贸易、电子薄膜材料、光电材料、光纤材料、红外光学材料、区熔硅单晶片、稀土磁效应材料、稀土发光材料、稀土金属及合金、医用材料、重掺砷硅单晶片,半导体材料、磁性材料、光学辅材、合金、进出口贸易、无机化工原料、医用耗材、专用设备与零部件,公司主要从事微电子光电子用薄膜材料、超高纯金属及稀贵金属材料、高端稀土功能材料、红外光学及光纤材料、生物医用材料等新材料的研发与制备。产品主要应用于新能源及新能源汽车、新一代信息技术、生物医药、节能环保等战略性新兴产业领域，满足国民经济发展和国防科技工业建设需要。公司是国内规模最大、材料种类最齐全的高端电子信息用材料研发制造基地，并致力于发展贵金属循环经济；积极开展稀土资源的绿色制备等新技术推广及新产品的产业化研发；在先进半导体材料和红外光学材料领域，拥有国内技术水平最高的红外锗单晶、水平GaAs单晶、CVD硫化锌生产线。
688699.SH,明微电子,1230717.2511475412,326015.44648547715,647244552.19,LED显示驱动芯片、LED照明驱动芯片、电源管理芯片,电子元器件,"公司是一家主要从事集成电路研发设计、封装测试和销售的高新技术企业。公司一直专注于数模混合及模拟集成电路领域，产品主要包括LED显示驱动芯片、LED照明驱动芯片、电源管理芯片等，产品广泛应用于LED显示屏、智能景观、照明、家电等领域,公司自主研发的恒流精度控制技术、SM-PWM协议控制技术、LED状态侦测技术、消除耦合技术、OUT开关时序控制技术、消影技术、节能控制技术、高压自启动和供电技术、线性全电压驱动技术、开关调光调色技术、并联写码技术、自适应设置芯片参数技术、恒功率控制技术、多段开关控制技术、可控硅检测技术等多项技术具有显著优势，在集成电路领域竞争实力突出。公司拥有一个省级工程技术中心、一个省部级产学研基地和一个市级工程实验室，自成立以来获得了“国家知识产权优势企业”、“国家级高新技术企业”、“国家规划布局内重点集成电路设计企业”、“广东省知识产权示范企业”、“广东省知识产权优势企业”、“广东省创新型企业”、“广东省软件和集成电路设计产业百强培育企业”等荣誉。"
